time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,6.511315542e-04,6.906368000e-04,2.181331200e-06,2.071910400e-05,4.179491043e+01,4.024000000e+01
6.070000e-06,4.007469109e-04,3.901888000e-04,1.161382400e-06,1.170566400e-05,4.279120848e+01,4.357000000e+01
7.080000e-06,2.690975692e-04,2.601171200e-04,8.551616000e-07,7.803513600e-06,4.317714079e+01,4.419000000e+01
8.520000e-06,1.723367801e-04,1.675686400e-04,4.216768000e-07,5.027059200e-06,4.268394171e+01,4.351000000e+01
1.053000e-05,1.052364867e-04,1.048288000e-04,2.571520000e-07,3.144864000e-06,4.166368189e+01,4.177000000e+01
1.255000e-05,7.049511076e-05,7.187136000e-05,1.731577600e-07,2.156140800e-06,4.061972242e+01,4.012000000e+01
1.456000e-05,5.036101405e-05,5.129920000e-05,1.665715200e-07,1.538976000e-06,3.968111711e+01,3.922000000e+01
1.744000e-05,3.315567009e-05,3.379712000e-05,7.412800000e-08,1.013913600e-06,3.881204132e+01,3.832000000e+01
2.146000e-05,2.006029707e-05,2.024416000e-05,6.714816000e-08,6.073248000e-07,3.839795155e+01,3.816000000e+01
2.549000e-05,1.291506060e-05,1.279200000e-05,6.171648000e-08,3.837600000e-07,3.865762194e+01,3.891000000e+01
2.950000e-05,8.723585393e-06,8.543744000e-06,7.494144000e-08,2.563123200e-07,3.936248016e+01,3.990000000e+01
3.528000e-05,5.272561181e-06,5.140416000e-06,3.167168000e-08,1.542124800e-07,4.086521421e+01,4.157000000e+01
4.330000e-05,2.911056929e-06,2.972992000e-06,3.340352000e-08,8.918976000e-08,4.315875083e+01,4.255000000e+01
5.140000e-05,1.788846599e-06,1.739974400e-06,3.280000000e-08,5.219923200e-08,4.486715799e+01,4.570000000e+01
5.941000e-05,1.214456349e-06,1.260832000e-06,3.482048000e-08,3.782496000e-08,4.562770574e+01,4.450000000e+01
7.095000e-05,7.838491150e-07,7.824768000e-07,1.887443200e-08,2.347430400e-08,4.544716997e+01,4.550000000e+01
8.707000e-05,5.261659406e-07,5.436928000e-07,1.789305600e-08,1.789305600e-08,4.214244838e+01,4.123000000e+01
1.031600e-04,3.949763232e-07,3.825792000e-07,1.457632000e-08,1.457632000e-08,3.846061533e+01,3.929000000e+01
1.192200e-04,3.126760839e-07,2.742080000e-07,1.758867200e-08,1.758867200e-08,3.531323631e+01,3.855000000e+01
1.423300e-04,2.319198005e-07,2.338771200e-07,1.012076800e-08,1.012076800e-08,3.207720535e+01,3.190000000e+01
1.745400e-04,1.636161210e-07,1.787206400e-07,1.064294400e-08,1.064294400e-08,2.880979346e+01,2.716000000e+01
