Point ID, DD.MM.YYYY/H:Min:Sec, Easting, Northing, Ortho. Hight,Longitude,Latitude
   L50-01,         16.         7.      2021/         11:        14:12.5200001663,-28549.4490742313,212726.9166188771,3030.8799815876,12.956880198820315,47.05297114784039
   L50-02,         16.         7.      2021/         11:        13:32.4799997080,-28553.7632375153,212718.4577070186,3026.9076345386,12.956823960249961,47.0528948732254
   L50-03,         16.         7.      2021/         11:        12:48.4599998407,-28558.5246608018,212710.4350886764,3023.3620446092,12.956761807692999,47.052822503471205
   L50-04,         16.         7.      2021/         11:        11:55.5300000217,-28562.2431989155,212702.2841758793,3019.9667189317,12.95671338870586,47.052749025173036
   L50-06,         16.         7.      2021/         11:        10:51.5000000596,-28565.9671785929,212694.5866362415,3016.9589491664,12.956664869305266,47.0526796246354
   L50-07,         16.         7.      2021/         11:         7:55.5100002280,-28571.1780338157,212685.9675480248,3013.4874049025,12.956596840407428,47.05260187003822
   L50-08,         16.         7.      2021/         11:         7:10.4799996782,-28575.6450799612,212677.0099279508,3010.2108821739,12.956538622406732,47.05252110281107
   L50-09,         16.         7.      2021/         11:         6:15.5700002890,-28579.4089095591,212669.4528920585,3007.4235818926,12.956489570013915,47.052452964267786
   L50-10,         16.         7.      2021/         11:         5:24.4800000452,-28583.7893894875,212660.4574682098,3004.329518483,12.956432494023646,47.05237186072372
   L50-11,         16.         7.      2021/         11:         4:36.4400002314,-28587.6432226282,212652.1210552212,3001.533943803,12.956382307162178,47.0522967078335
   L50-12,         16.         7.      2021/         10:        21:50.5599998496,-28592.8290777242,212642.9638494197,2998.5108903553,12.956314642547824,47.05221411387558
